A B crs
42 27 3.50386534461186
42 28 0.2976816759050279
42 29 4.1952476017155975
42 30 2.464063341580219
42 31 0.0362254337105149
42 32 3.264712825200417
42 33 1.865734634338249
42 34 0.4951955341443826
42 35 15.699926762829074
42 36 4.451501965509208
42 37 1.6410865944813342
42 38 18.077050892033462
42 39 1.0622534761916471
42 40 0
42 41 3.9515547099060444
43 01 2.92135573835872
43 02 1.9511982090564122
43 03 1.7188617293403037
43 04 3.564249587675885
43 05 4.319843126332818
43 06 5.0070999001714265
43 07 1.6376493839385355
43 08 0
43 09 3.1144764979473787
43 10 5.288393845914574
43 11 6.472518326248623
43 12 0
43 13 3.2331648134516606
43 14 5.008356929438555
43 15 8.286944128388654
43 16 1.5117361660107065
43 17 0.7711303307515863
43 18 3.6804500447783823
43 19 1.6960115522878016
43 20 2.9022649532974873
43 21 6.898498874252262
43 22 0.1316124553191
43 23 3.535037726977026
43 24 5.257449617974025
43 25 0
43 26 2.1420026004556294
43 27 7.228921513342122
43 28 3.2766364735051443
43 29 5.5637925318128065
43 30 2.3530310516427337
43 31 1.7628259429928705
43 32 7.037028275310487
43 33 5.1906147995727
43 34 4.176188690073599
43 35 17.709563937764152
43 36 8.215751615816394
43 37 5.2547845861007465
43 38 20.330958868269054
43 39 3.999330715463567
43 40 3.4117430802390847
43 41 5.914511470987979
43 42 2.065009585578434
44 01 1.7417222886775754
44 02 0.6077734045428321
44 03 1.0647231454136805
44 04 2.255404163925618
44 05 2.3662851074671103
44 06 3.0244476033934093
44 07 1.9986492342786948
44 08 1.2205030107157502
44 09 1.6735727606900774
44 10 3.302827761453884
44 11 4.726387700296836
44 12 0
44 13 1.3762181810857204
44 14 3.175414752088566
44 15 6.603283279984093
44 16 0
44 17 2.023910186616506
44 18 2.2831214255819874
44 19 0
44 20 2.002848531804043
44 21 4.987283771926537
44 22 0.20947489937067462
44 23 1.9710097779888445
44 24 3.588394285994088
44 25 0.2652354932769914
44 26 1.0041687504967298
44 27 5.542717712352869
44 28 1.2814509714354754
44 29 4.011025623652446
44 30 1.1360132570635244
44 31 0.8021662141448795
44 32 5.287187436004491
44 33 3.7272707107625016
44 34 2.490340768666667
44 35 15.997104460571824
44 36 6.479386751733006
44 37 3.3382901964663567
44 38 18.5590944242586
44 39 2.798546922090138
44 40 1.630260946130501
44 41 4.164894169941784
44 42 0.4512846074031617
44 43 0
45 01 2.447741672491021
45 02 0.24286181736432913
45 03 2.071557499176322
45 04 1.6990208669409919
45 05 0
45 06 0
45 07 4.118061737839098
45 08 4.693443387821634
45 09 1.2313312685025126
45 10 0
45 11 2.3819662826713097
45 12 2.084425579644044
45 13 0
45 14 0.6707949389994601
45 15 3.800105730949788
45 16 0
45 17 5.416084601919119
45 18 1.418733955588052
45 19 0.11614367441389863
45 20 2.9260339158765505
45 21 1.893034664066437
45 22 2.9770051640306865
45 23 0.8298114144211127
45 24 1.856693984025753
45 25 3.6672602104170426
45 26 1.9390284424541269
45 27 2.8827255474994766
45 28 0
45 29 2.0486597419190695
45 30 1.449401474078226
45 31 2.3147243308670755
45 32 2.469987089619251
45 33 2.831400122851719
45 34 1.441317990597488
45 35 13.12558158427651
45 36 3.4809547196414643
45 37 0.35101113397074746
45 38 15.512848488776656
45 39 2.4612972360847345
45 40 0.3152081499563155
45 41 1.4122740082982674
45 42 1.1868774260937633
45 43 3.261488588771981
45 44 1.3366696173872108
46 01 2.537337754548009
46 02 0
46 03 0
46 04 1.3456615820325544
46 05 2.7477034455903637
46 06 3.1317323625070084
46 07 1.1867770771042312
46 08 2.3300963057494037
46 09 2.3433748607774243
46 10 3.4240916688244596
46 11 4.341056005777099
46 12 0
46 13 1.207549975767889
46 14 2.9167951135448233
46 15 7.038759986565676
46 16 0
46 17 3.2417549553812903
46 18 1.4667956238021858
46 19 0.4194977061297917
46 20 2.8439854318186186
46 21 4.850243677285363
46 22 1.5783374977454223
46 23 1.3804708296913146
46 24 4.110738824081396
46 25 1.6364129872421587
46 26 1.827832647163726
46 27 6.015369240072258
46 28 1.5961466493092726
46 29 3.361840786207828
46 30 0.16104817540132596
46 31 1.7058698390674036
46 32 5.709719938192031
46 33 4.38940714646245
46 34 3.0413860407679203
46 35 15.52797750994825
46 36 6.901047422434921
46 37 3.7333806290773555
46 38 18.179502347223753
46 39 3.558436851968571
46 40 2.1047288373346764
46 41 3.7842677114609913
46 42 1.1061520075359337
46 43 1.019305613132732
46 44 0
46 45 1.390527483894467
47 01 1.3319929883558057
47 02 2.5323253051178822
47 03 4.092134847924214
47 04 4.014068446539591
47 05 0
47 06 1.651355608988321
47 07 5.746184552204375
47 08 5.340932507060826
47 09 0
47 10 0.8940595567530795
47 11 4.080275496572009
47 12 3.515359353045698
47 13 1.5378686998978637
47 14 2.3719515216923006
47 15 2.5354743027132103
47 16 1.6228354554550612
47 17 5.773617951968378
47 18 3.7083075481628285
47 19 0.5785348876906277
47 20 1.8819905754332327
47 21 3.295982899784479
47 22 3.12408244030024
47 23 2.7571762804598383
47 24 0
47 25 4.3045287136358565
47 26 1.0078179211228107
47 27 1.5060875176820272
47 28 0.527165234297522
47 29 3.837021355199931
47 30 3.755984346195145
47 31 1.7523563501455568
47 32 1.2334606241824988
47 33 0.7651640683393682
47 34 0
47 35 14.32007153799248
47 36 2.418484736786656
47 37 0
47 38 16.58927764761412
47 39 0.7779906179882028
47 40 0
47 41 2.995590522598426
47 42 0.43025065508581495
47 43 4.205625786986455
47 44 2.4460000023720565
47 45 0.8209607643495823
47 46 2.892315333761504
48 01 0
48 02 3.662534388034515
48 03 4.562594464118577
48 04 5.121085069419892
48 05 2.3744372234117406
48 06 3.8942958465635575
48 07 5.507892913870741
48 08 4.10770119845173
48 09 0
48 10 3.455502278660741
48 11 6.336961756191151
48 12 3.2260589521628207
48 13 3.4876938559889514
48 14 4.6712716718085625
48 15 4.245970488403457
48 16 2.4021373990762025
48 17 4.215248337740615
48 18 4.918238563505991
48 19 1.657409837849662
48 20 0
48 21 5.8729781646440005
48 22 1.5993978895018253
48 23 4.455430491351048
48 24 1.2977133258485982
48 25 3.10120420271903
48 26 0.33763987014551
48 27 3.372500305097406
48 28 1.8844270231555886
48 29 5.860858769395117
48 30 4.497837066158829
48 31 0.3152884850493773
